Query No,Query,Video No,Title,Views,Channel,Length,Upload Date,Video Link,Channel Link
1,machine learning,1,But what is a neural network?,16M,3Blue1Brown,18:40,6 years,https://www.youtube.com/watch?v=aircAruvnKk&t=750s&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@3blue1brown
1,machine learning,2,How I’d learn ML in 2024 (if I could start over),951K,Boris Meinardus,7:05,7 months,https://www.youtube.com/watch?v=gUmagAluXpk&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@borismeinardus
1,machine learning,3,"Rethinking Data Science, Machine Learning, and AI",217,Vanishing Gradients,1:47:47,Streamed 21,https://www.youtube.com/watch?v=-CD66CI1pEo&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@vanishinggradients
1,machine learning,4,Complete Machine Learning In 6 Hours,782K,Krish Naik,6:37:52,2 years,https://www.youtube.com/watch?v=JxgmHe2NyeY&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@krishnaik06
1,machine learning,5,AI & ML Roadmap,246K,CodeWithHarry,8:40,1 month,https://www.youtube.com/watch?v=AMxtGWcMYd4&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@CodeWithHarry
1,machine learning,6,How to learn machine learning as a complete beginner: a self,50K,Aleph 0,10:23,1 month,https://www.youtube.com/watch?v=0F2paWV4eEA&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@Aleph0
1,machine learning,7,AI Portfolio Project,258K,Mo Chen,9:59,5 months,https://www.youtube.com/watch?v=QNPqFvxL5AA&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@mo-chen
1,machine learning,8,Machine Learning,4.5M,Simplilearn,7:52,5 years,https://www.youtube.com/watch?v=ukzFI9rgwfU&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@SimplilearnOfficial
1,machine learning,9,Machine Learning for Everybody – Full Course,5.5M,freeCodeCamp.org,3:53:53,1 year,https://www.youtube.com/watch?v=i_LwzRVP7bg&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@freecodecamp
1,machine learning,10,Intelligent Movie,172M,Aditya Movies,2:01:17,5 years,https://www.youtube.com/watch?v=pBP49rdzP4M&pp=ygUQbWFjaGluZSBsZWFybmluZw%3D%3D,https://www.youtube.com/@adityamovies
